name,small mol,pocket,energy,constant
af-6578-heme,536,9,-2.6,25.79
af-6578-heme,537,6,-1.52,281.5
af-6578-heme,538,3,-3.96,281.5
af-6578-heme,539,5,-2.2,281.5
af-6578-heme,540,8,-2.71,30.59
af-6578-heme,541,13,-2.05,30.59
af-6578-heme,542,2,-5.74,1.96
af-6578-heme,543,20,-7.67,2.39
af-6578-heme,544,29,-7.19,5.4
af-6578-heme,545,8,-6.21,28.21
af-6578-heme,546,25,-7.46,3.41
af-6578-heme,547,2,-6.09,34.43
af-6578-heme,548,0,-6.42,19.57
af-6578-heme,549,0,-6.47,18.09
af-6578-heme,550,0,-6.47,18.09
af-6578-heme,551,3,-6.63,13.87
af-6578-heme,552,4,-6.73,11.63
af-6578-heme,553,8,-7.1,6.26
af-6578-heme,554,0,-7.1,6.26
af-6578-heme,555,0,-7.1,6.26
af-6578-heme,556,0,-7.1,6.26
af-6578-heme,557,0,-7.07,6.6
af-6578-heme,558,12,-5.63,21.95
af-6578-heme,559,10,-5.99,21.95
af-6578-heme,560,12,-5.15,21.95
af-6578-heme,561,10,-6.55,21.95
af-6578-heme,562,3,-7.72,2.2
af-6578-heme,563,4,-5.51,826
af-6578-heme,564,5,-5.76,826
af-6578-heme,565,1,-5.4,45.23
af-6578-heme,566,1,-4.97,417.44
af-6578-heme,567,3,-5.64,221.65
af-6578-heme,568,1,-5.76,221.65
af-6578-heme,569,2,-5.39,16.33
af-6578-heme,570,3,-5.84,16.33
af-6578-heme,571,0,-6.69,12.44
af-6578-heme,572,6,-1.19,12.44
af-6578-heme,573,3,-6.5,17.34
af-6578-heme,574,3,-6.59,21.54
af-6578-heme,575,12,-4.33,21.54
af-6578-heme,576,0,-4.33,21.54
af-6578-heme,577,0,-4.33,21.54
af-6578-heme,578,16,15.27,21.54
af-6578-heme,579,12,19.67,21.54
af-6578-heme,580,10,23.27,21.54
af-6578-heme,581,11,2.55,21.54
af-6578-heme,582,2,-6.66,13.14
af-6578-heme,583,3,-7.7,2.3
af-6578-heme,584,0,-5.95,43.75
af-6578-heme,585,1,-6.42,128.91
af-6578-heme,586,1,-5.19,166.5
af-6578-heme,587,6,-5.85,57.81
af-6578-heme,588,0,-4.52,487.45
af-6578-heme,589,4,-5.88,15.35
af-6578-heme,590,1,-7.66,2.42
af-6578-heme,591,0,-8.21,956.47
af-6578-heme,592,1,-6.09,34.55
af-6578-heme,593,2,-6.03,47.29
af-6578-heme,594,0,-6.05,36.55
af-6578-heme,595,0,-6.8,10.4
af-6578-heme,596,7,-1.44,10.4
af-6578-heme,597,7,-2.75,10.4
af-6578-heme,598,5,-6.84,24
af-6578-heme,599,3,-5.2,24
af-6578-heme,600,2,-4.98,24
af-6578-heme,601,11,-5.97,59.21
af-6578-heme,602,17,-6.44,59.21
af-6578-heme,603,1,-4.48,59.21
af-6578-heme,604,6,-5.67,51.18
af-6578-heme,605,7,-5.53,51.18
af-6578-heme,606,1,-6.39,20.8
af-6578-heme,607,4,-6.68,12.6
af-6578-heme,608,2,-5.75,481.1
af-6578-heme,609,3,-6.31,23.76
af-6578-heme,610,8,-5.56,1.61
af-6578-heme,611,12,-6.41,128.19
af-6578-heme,612,6,-6.29,63.82
af-6578-heme,613,9,-6.08,124.08
af-6578-heme,614,7,-9.12,3.75
af-6578-heme,615,9,-7.14,3.75
af-6578-heme,616,18,-7.35,3.75
af-6578-heme,617,8,-6.67,3.75
af-6578-heme,618,10,-6.36,2.94
af-6578-heme,619,6,-6.37,807.51
af-6578-heme,620,10,-6.34,360.66
af-6578-heme,621,7,-6.24,1.54
af-6578-heme,622,9,-5.69,126.63
af-6578-heme,623,11,-5.97,126.63
af-6578-heme,624,5,-8.59,1.36
af-6578-heme,625,6,-6.69,4.53
af-6578-heme,626,13,-4.94,800.45
af-6578-heme,627,10,-6.99,228.88
af-6578-heme,628,2,-7.94,4.98
af-6578-heme,629,9,-6.8,689.24
af-6578-heme,630,4,-6.9,689.24
af-6578-heme,631,0,-6.11,33.41
af-6578-heme,632,6,-5.59,80.46
af-6578-heme,633,6,-5.59,81.95
af-6578-heme,634,3,-5.94,37.8
af-6578-heme,635,2,-5.69,69.13
af-6578-heme,636,2,-4.75,330.99
af-6578-heme,637,0,-4.4,738.68
af-6578-heme,638,1,-6.62,16.09
af-6578-heme,639,0,-6.45,18.75
af-6578-heme,640,8,-6.56,15.48
af-6578-heme,641,5,-6.36,21.62
af-6578-heme,642,0,-7.46,122.82
af-6578-heme,643,3,-6.85,122.82
af-6578-heme,644,1,-7.04,6.92
af-6578-heme,645,3,-7.28,4.61
af-6578-heme,646,7,-6.31,97.74
af-6578-heme,647,5,-5.65,72.91
af-6578-heme,648,1,-5.94,45.29
af-6578-heme,649,4,-4.93,1.17
af-6578-heme,650,7,-4.44,1.17
af-6578-heme,651,8,-4.79,1.23
af-6578-heme,652,12,-3.58,2.54
af-6578-heme,653,4,-5.44,2.54
af-6578-heme,654,0,-5.44,2.54
af-6578-heme,655,0,-5.44,2.54
af-6578-heme,656,0,-5.44,2.54
af-6578-heme,657,0,-6.21,28.08
af-6578-heme,658,0,-6.21,28.08
af-6578-heme,659,12,8.97,28.08
af-6578-heme,660,12,11.1,28.08
af-6578-heme,661,16,7.63,28.08
af-6578-heme,662,11,6.74,28.08
af-6578-heme,663,4,-4.23,1.53
af-6578-heme,664,1,-6.65,13.51
af-6578-heme,665,0,-6.72,11.81
af-6578-heme,666,1,-6.19,29.17
af-6578-heme,667,0,-6.89,8.95
af-6578-heme,668,6,-4.02,8.95
